iter	Logloss
0	0.6427072517
1	0.5924081315
2	0.5558781703
3	0.5140602797
4	0.4850545349
5	0.4539138898
6	0.4298166898
7	0.4105354503
8	0.3851882601
9	0.3647433545
10	0.3481122144
11	0.3284770547
12	0.3125790846
13	0.2916934441
14	0.2771957647
15	0.2639173531
16	0.2456264938
17	0.2299605559
18	0.218768752
19	0.2093413382
20	0.198086438
21	0.1888048554
22	0.1813518715
23	0.1740307944
24	0.1661245986
25	0.1603108793
26	0.1521251117
27	0.1453529228
28	0.1380877074
29	0.1318613321
30	0.1250382039
31	0.1191790024
32	0.1156490938
33	0.11152031
34	0.1071763781
35	0.103498785
36	0.099460324
37	0.09593778238
38	0.09300118934
39	0.09006221115
40	0.08738803881
41	0.08496335701
42	0.0836056956
43	0.08066885413
44	0.07891670961
45	0.07698173697
46	0.0747124103
47	0.07229797786
48	0.07048691744
49	0.06872835382
50	0.06691815977
51	0.06547292117
52	0.0637233552
53	0.06273976184
54	0.06126012785
55	0.06010372809
56	0.05875265108
57	0.05755821208
58	0.05682157433
59	0.05571153758
60	0.05469851638
61	0.05370922805
62	0.05274734899
63	0.05190545729
64	0.05117909625
65	0.05040888916
66	0.04972298882
67	0.04920737495
68	0.04864821763
69	0.04769133483
70	0.04707186147
71	0.046236584
72	0.04558316583
73	0.04510207731
74	0.04473397408
75	0.04395437236
76	0.04345256218
77	0.0430386995
78	0.04255155506
79	0.04208197323
80	0.04158668013
81	0.04109707585
82	0.04066210506
83	0.04026841471
84	0.03991030117
85	0.03939784076
86	0.03886509489
87	0.03840425059
88	0.03797658328
89	0.03773556082
90	0.03732528122
91	0.03703165557
92	0.03670584254
93	0.03639563242
94	0.03613263572
95	0.03575972797
96	0.03539641448
97	0.03526093825
98	0.03500104791
99	0.03449907925
100	0.03428577201
101	0.0339451524
102	0.03364528784
103	0.0334153502
104	0.0331026123
105	0.03287903065
106	0.03264043378
107	0.03249466399
108	0.03230509659
109	0.0321355285
110	0.03196919012
111	0.03178286404
112	0.03175042817
113	0.0315319299
114	0.03133101019
115	0.03099931891
116	0.03084258062
117	0.03064577938
118	0.03041301717
119	0.03018144438
120	0.02993797112
121	0.02962630945
122	0.02946348859
123	0.02945468769
124	0.0294416378
125	0.02923979651
126	0.02910459531
127	0.02904990722
128	0.02889507635
129	0.02875416453
130	0.02849775304
131	0.02820323659
132	0.02809495231
133	0.02796868648
134	0.02780276854
135	0.02759533376
136	0.02737447818
137	0.02721132814
138	0.02712184777
139	0.02693376596
140	0.0267616223
141	0.02659702324
142	0.02644758852
143	0.02632788834
144	0.02617639932
145	0.02604454516
146	0.02585093246
147	0.02564764129
148	0.02543497825
149	0.02538536962
150	0.02522429352
151	0.02510720241
152	0.02492653437
153	0.02481230506
154	0.02467278132
155	0.02454227092
156	0.02446927514
157	0.02437633335
158	0.02423830719
159	0.02408400858
160	0.02407347322
161	0.02398184133
162	0.02392692685
163	0.02383076901
164	0.02372047266
165	0.02361878199
166	0.02354345124
167	0.02342292472
168	0.02325051523
169	0.02318306851
170	0.02313977623
171	0.02307569371
172	0.02291730817
173	0.02278118463
174	0.02267594627
175	0.02266647292
176	0.02254331232
177	0.02249382919
178	0.02242124088
179	0.02236474426
180	0.02229454361
181	0.02211415804
182	0.02200915861
183	0.02192677354
184	0.02189093814
185	0.02177081978
186	0.02171447547
187	0.02162412095
188	0.02161742347
189	0.0214629823
190	0.02129744244
191	0.02123589651
192	0.02115607953
193	0.02102506687
194	0.02086647964
195	0.02073843466
196	0.02058329069
197	0.02046327509
198	0.02039227319
199	0.02038018945
200	0.02022867144
201	0.02010496495
202	0.01996077035
203	0.01980066545
204	0.01967556812
205	0.01964664564
206	0.01956905357
207	0.01945908932
208	0.01936683501
209	0.01930724767
210	0.01919017347
211	0.01914774727
212	0.0190593883
213	0.01903220283
214	0.01901248074
215	0.01892878935
216	0.01881720287
217	0.01870095522
218	0.01865796548
219	0.0185731098
220	0.01853337617
221	0.01852718991
222	0.01839319521
